SOC,EFFECTIVE_DATE,SYS_CREATION_DATE,SYS_UPDATE_DATE,OPERATOR_ID,APPLICATION_ID,DL_SERVICE_CODE,DL_UPDATE_STAMP,SPECIAL_DAYS_SET_CODE,PRODUCT_TYPE,SOC_STATUS,SALE_EFF_DATE,SALE_EXP_DATE,SOC_DESCRIPTION,SERVICE_TYPE,SOC_LEVEL_CODE,CUSTOMER_TYPE,FOR_SALE_IND,INTERNAL_TYPE,PP_REPLACEMENT,REPLACED_PP,MAX_ALLOWED_CTNS,MIN_REQ_CTNS,MINIMUM_NO_MONTHS,MIN_REQ_USG_CHRG,ET_MAX_PEN_RATE,ET_MIN_PEN_RATE,PP_MIN_MOU_PRD_IND,MIN_REQ_USG_LEVEL,ICC_CHARGE_IND,DLR_COMMISSION_IND,DLR_RESIDUAL_IND,EXPIRATION_DATE,BILL_PRESENT_IND,COVERAGE_TYPE,AREA_CODE,EHA_FEE_IND,ROAM_ADMIN_FEE_IND,RERATE_SCHG_IND,ESTBL_CHARGE_IND,CUSTOMER_SUBTYPE,SOC_QTY_IND,RELATED_EQUIPMENT,ELA_FEE_IND,WELCOME_MESSAGE_TYPE,PRODUCT_SUB_TYPE,ROLLOVER_TYPE_IND,SOC_MODE,SL_MAX_AMOUNT,SL_MIN_AMOUNT,SL_DEPOSIT_AMT,MOBILE_TECHNOLOGY,MAX_MEMBERS,IRDB_TYPES,ILD_ELIG_IND,BEYOND_VOICE_IND,GEN_ATTRIBUTE,PP_CATEGORY,OFFER_ID,OFFER_DESC,CSE_IND,OFFER_MGR,SOC_NETWORK,DATA_ONLY_IND,RIM_SERVICE_NAME,SERVICE_CATEGORY,PPU_IND,CONTRACT_GRP_CD,UMTS_COMPATIBILITY,POOLING_PROFILE,POOLING_TYPE,SOC_MAGIC_TYPE,RETIRING_GRP_PP_ID,TIME_PERIOD_SOC,PUB_TO_ATLAS_IND,INSR_SOC_TYPE,RSTR_PP_IND,CNTR_TYPE,FILTER_ATTRIBUTES,INCL_MINS,THREEG_REQ_IND,M2AN_MAX_LINE_NO,MRC_PRICE_POINT,LTE_IND,SOC_MED_DESC,SOC_LONG_DESC,ALLOWANCE,UOM,PRORATION_IND,INTL_ROAM_ALLOWANCE,INTL_ROAM_PRORATION_IND,INTL_ROAM_UOM,ATL_ATTR_NAME,EXCLUDED_IMEI_TYPES,TITAN_OFFER_ID,SUBSCRIPTION_CLASS,TITAN_ELIG_IND,DATA_GROUP_IND,NATIONAL_IND,SOC_DURATION,AMSPRODUCT,SUBCLASS_ID, 
ZTXT10019,02-JAN-80,16-MAR-05,08-JUL-14,754917,ATLS6 ,T1406,,    ,M,A,11-NOV-00,10-FEB-06,1000 Text Messages,R,C, ,Y,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,B,,,61111,SMS SINGLE LINE 1000MSG $0MRC $0.10 ADDL - B,,,B,,,D3,,BLU,,,,,,,,,,,A066;,,,,,,1000 Text Messages,,,,,,,,,,,,,,,,,, 
SOHGNELAS,02-JAN-80,30-JAN-04,04-NOV-14,11111,RLEASE,T1410,1111,    ,M,A,01-NOV-02,,GSM Coverage Area             ,O,C, ,Y,,,,,,,,,,,,N,N,N,,,D,,N,N,S,N,,,D,N,,  ,N,G,,,,M,,,Y,V,RESSOCREM;,,,,,,T,,,NC,,,,,,,,,,,,,A012;NOBUTTONS;,,,,,,GSM Coverage Area             ,,,,,,,,,,,*;,,,,,,, 
BTHMCUML2,02-JAN-80,28-OCT-05,08-JUL-14,754992,TDMA1 ,T1406,,    ,M,A,11-NOV-00,,LOCAL LD,O,C, ,Y,,,,,,,,,,,,N,Y,Y,,,C,,N,N,,N,,,D,N,,  ,N,,,,,M,,99,Y,V,RESSOCREM;,,,,,,B,,,,,,B,,,,,,,,,,A022;NOBUTTONS;,,,,,,LOCAL LD,,,,,,,,,,,,,,,,,, 
XNTPDCBO ,02-JAN-80,01-MAR-05,08-JUL-14,754992,T1206 ,T1406,,BLU ,M,A,11-NOV-00,10-FEB-06,National Pooled 970,P,C, ,N,,,,,0,12,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,,Y,,ELIG_TYPE;VM:BASIC;BVM;,AAA,,,,,B,,,V1,,BLU,,,,,,,,,,,VOICE_PP;BUSINESS;,970,,,,,National Pooled 970,,,,,,,,,,,,,,,,,, 
BTHCEA6DA,02-JAN-80,28-OCT-05,08-JUL-14,754992,TDMA1 ,T1406,,    ,M,A,11-NOV-00,,LOCAL LD,O,C, ,Y,,,,,,,,,,,,N,Y,Y,,,C,,N,N,,N,,,D,N,,  ,N,,,,,M,,99,Y,V,RESSOCREM;,,,,,,B,,,,,,B,,,,,,,,,,A022;NOBUTTONS;,,,,,,LOCAL LD,,,,,,,,,,,,,,,,,, 
WABP007  ,02-JAN-80,19-NOV-04,08-JUL-14,11111,T1206 ,T1406,1111,DEF ,M,A,14-AUG-03,10-JUN-06,BBBPPN7500 5                  ,P,P, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,,Y,,B2B_TYPE;BANLVLSH;VM:BASIC;BVM;,AAA,,,,,O,,,V1,,STD,,,,,,,,,,,VOICE_PP;BUSINESS;,7500,,,,,BBBPPN7500 5                  ,,,,,,,,,,,,,,,,,, 
ILODNB18 ,02-JAN-80,26-JUL-06,08-JUL-14,11111,T1206 ,T1406,1111,DEF ,M,A,16-JUN-05,10-JUN-06,OBFRNTN,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,A1,Y,,B2B_TYPE;ELIG_TYPE;VM:BASIC;BVM;,AAA,,,Y,,O,,,V1,,STD,,,,,,,,,,,VOICE_PP;BUSINESS;,0,,,,,OBFRNTN,,,,,,,,,,,,,,,,,, 
C96978452,02-JAN-80,24-APR-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,NIGHTS & WEEKENDS UNL,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS UNL,,,,,,,,,,,,,,,,,, 
NWB4377NW,02-JAN-80,29-APR-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,,NIGHTS & WEEKENDS 250,O,C, ,Y,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,S,,,,M,,,Y,V,ELIG_TYPE;FBF_XXX_LMT_NW;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS 250,,,,,,,,,,,,,,,,,, 
BTRN40060,02-JAN-80,29-JUN-06,08-JUL-14,754883,TDMA1 ,T1406,,,M,A,11-NOV-00,,Roam Rate $0.60,O,C,,Y,,,,,,,,,,,,N,N,N,,,R,,N,N,N,N,,,D,N,,,N,,,,,M,,99,Y,V,RESSOCREM;,,,,,,B,,,NC,,,N,,,N,,,,,,,A023;NOBUTTONS;,,,,,,Roam Rate $0.60,,,,,,,,,,,,,,,,,, 
PACP6N5  ,02-JAN-80,06-AUG-03,04-NOV-14,11111,T1206 ,T1410,1111,DEF ,M,A,15-JAN-03,10-JUN-06,Pref Nat 1000R/5000           ,P,C, ,Y,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,,Y,,ELIG_TYPE;CAP_MINS1000;FBF_PRD_LMTD;FBF_XXX_LMT_NW;,AAA,,,,,O,,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,1000,,,,,Pref Nat 1000R/5000           ,,,,,,,,,Z2@Z6@Z9@Z1,,,,,,,,, 
R051C1260,02-JAN-80,07-FEB-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,/W/ES & NIGHTS 10-7 ,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,/W/ES & NIGHTS 10-7 ,,,,,,,,,,,,,,,,,, 
C86871415,02-JAN-80,24-APR-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,NIGHTS & WEEKENDS UNL,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS UNL,,,,,,,,,,,,,,,,,, 
BBBW4    ,02-JAN-80,17-JAN-06,08-JUL-14,11111,T1206 ,T1406,1111,    ,M,A,17-JAN-06,,BB4MBBusiness,N,C,,Y,,,,,,,,,,,,N,Y,Y,,,G,,,,,N,,,D,,,GG,N,,,,,M,,,Y,B,RESSOCREM;FBF_XXX_LMT_GPR;,,59370,GPRS BB BUSINESS ALL2 4MB $0.005KB ADDL,,C,O,,4700,NC,,,,,,,,,,,,,,,,,,,BB4MBBusiness,,,,,,,,,,59370,,Y,,,,,, 
D05FXXA2N,02-JAN-80,02-FEB-06,08-JUL-14,754926,T1206 ,T1406,,DEF ,M,A,11-NOV-00,10-JUN-06,/FT9 NGSM4000RUMM UNW                        ,P,P, ,N,,,,6000,0,0,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,,Y,,,AAA,,,,,O,N,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,4000,,,,,/FT9 NGSM4000RUMM UNW                        ,,,,,,,,,,,,,,,,,, 
NWF2864NW,02-JAN-80,29-APR-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,,NIGHTS & WEEKENDS 5K,O,C, ,Y,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,S,,,,M,,,Y,V,ELIG_TYPE;FBF_XXX_LMT_NW;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS 5K,,,,,,,,,,,,,,,,,, 
C67871540,02-JAN-80,24-APR-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,NIGHTS & WEEKENDS 1K,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS 1K,,,,,,,,,,,,,,,,,, 
CNRT34S  ,02-JAN-80,04-DEC-06,04-NOV-14,754925,T1206 ,T1410,,    ,M,A,11-NOV-00,10-JUN-06,NO LONG DISTANCE WHILE ROAMING               ,R,C, ,Y,,,,,,,,,,,,N,N,N,,,M,,N,N,,N,,,D,N,,  ,N,,,,,M,,,Y,V,,,,,,,T,,,NC,N,,B,,,N,,,N,,,,A022;,,,,,,NO LONG DISTANCE WHILE ROAMING               ,,,,,,,,,Z2@Z6@Z9@Z1,,,,,,,,, 
NW019799 ,02-JAN-80,08-FEB-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,01-FEB-98,10-JUN-06,NIGHTS & WEEKENDS 1K,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;REM_IF_DATAGRP_DUP;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS 1K,,,,,,,,,,14037829,,Y,,,,,, 
SLM1XDX1N,02-JAN-80,23-JAN-06,08-JUL-14,754992,T1206 ,T1406,,DEF ,M,A,11-NOV-00,10-JUN-06,/BUSINESS DIGITAL 175                        ,P,C, ,N,,,,,0,0,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,,Y,,B2B_TYPE;,AAA,,,,,O,N,,V1,,STD,,,,,,,,,,,VOICE_PP;BUSINESS;,0,,,,,/BUSINESS DIGITAL 175                        ,,,,,,,,,,,,,,,,,, 
IM03NC   ,02-JAN-80,09-NOV-06,04-NOV-14,11111,T1206 ,T1410,1111,    ,M,A,11-NOV-00,10-JUN-06,100 Text Messages,R,C, ,Y,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,B,FBF_XXX_LMT_SMS;REM_IF_DATAGRP_DUP;,,41619,SMS VAR11 100MSGS $0.1ADDL,,C,T,,,NC,,,,,,,,,,,,,A066;,,,,,,100 Text Messages,,,,,,,,,Z2@Z6@Z9@Z1,41619,,Y,,,,,, 
JUJO7799 ,02-JAN-80,08-FEB-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,01-FEB-98,10-JUN-06,NIGHTS & WEEKENDS 1K,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,BLU,,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS 1K,,,,,,,,,,,,,,,,,, 
FNH5XXX2C,02-JAN-80,11-FEB-05,04-NOV-14,11111,T1206 ,T1410,1111,DEF ,M,A,01-FEB-98,10-JUN-06,FT NGAIT 1500R 5KNW           ,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,G,,,,M,5,,Y,,ELIG_TYPE;CAP_MINS1500;VM:BASIC;BVM;,AAA,,,,,O,,,V1,,STD,,,,,,,,,,,,,,,,,FT NGAIT 1500R 5KNW           ,,,,,,,,,,,*;,,,,,,, 
CSV4XXX1C,02-JAN-80,28-DEC-05,08-JUL-14,754992,T1206 ,T1406,,DEF ,M,A,01-FEB-98,10-JUN-06,AFSTNAT2000RUNWUMM,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,,Y,,ELIG_TYPE;CAP_MINS2000;,AAA,,,,,O,N,,V1,,STD,,,,,,,,,,,,,,,,,AFSTNAT2000RUNWUMM,,,,,,,,,,,,,,,,,, 
HCODNN35 ,02-JAN-80,26-JUL-06,08-JUL-14,11111,T1206 ,T1406,1111,DEF ,M,A,16-JUN-05,10-JUN-06,OFRNTN,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,A1,Y,,B2B_TYPE;ELIG_TYPE;VM:BASIC;BVM;,AAA,,,Y,,O,,,V1,,STD,,,,,,,,,,,VOICE_PP;BUSINESS;,0,,,,,OFRNTN,,,,,,,,,,,,,,,,,, 
BTRM1029S,02-JAN-80,29-JUN-06,04-NOV-14,754883,TDMA1 ,T1410,,    ,M,A,11-NOV-00,,Roam Rate $0.99,O,C,,Y,,,,,,,,,,,,N,N,N,,,R,,N,N,N,N,,,D,N,,,N,G,,,,M,,99,Y,V,RESSOCREM;,,,,,,B,,,NC,,,N,,,N,,,,,,,A023;NOBUTTONS;,,,,,,Roam Rate $0.99,,,,,,,,,,,*;,,,,,,, 
NYFN5N6  ,02-JAN-80,10-FEB-05,04-NOV-14,11111,NBI3  ,T1410,1111,NEW ,M,A,17-SEP-04,10-JUN-06,FT9NATP 850RUMMUNW7,P,C, ,Y,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,G,,,,M,5,,Y,,CAP_MINS850;,AAA,,,N,,O,,,V1,,032,,,,,,,,,,,VOICE_PP;CONSUMER;,850,,,,,FT9NATP 850RUMMUNW7,,,,,,,,,,,*;,,,,,,, 
NYUNLM001,02-JAN-80,05-MAR-07,08-JUL-14,11111,T1206 ,T1406,1111,    ,M,A,02-JAN-80,15-FEB-07,Unlimited DomesticLD,B,C,,N, ,         ,,0,0,0,0,0,0,N, , ,Y,Y,,,C,,,,,,,,A,,,  ,,,,,,M,,,Y,V,,,,,,,T,,,NC,,,,,,,,,,,,,,,,,,,Unlimited DomesticLD,,,,,,,,,,,,,,,,,, 
CBP07    ,02-JAN-80,26-FEB-07,08-JUL-14,754931,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,1 MNTH UNL MNET 1M,S,C,,N, ,         ,,0,0,0,0,0,0,N, ,N,Y,Y,,,H,,N,N,,N,,,D,N,,,,,,,,M,,A1,Y,B,B2B_TYPE;,,,,,,O,,,D2,,,B,,,,,,,,,,,,,,,,1 MNTH UNL MNET 1M,,,,,,,,,,,,,,,,,, 
BTXX7GC  ,02-JAN-80,03-AUG-05,08-JUL-14,754992,T1206 ,T1406,,BMC ,M,A,11-NOV-00,10-FEB-06,GROUP CALLING T 1200,P,C, ,N,,,,,0,12,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,99,Y,,,AAA,,,,,B,N,,V1,,STD,,,,,,,,,,,VOICE_PP;BUSINESS;,1200,,,,,GROUP CALLING T 1200,,,,,,,,,,,,,,,,,, 
BTXXNLX18,02-JAN-80,28-OCT-05,08-JUL-14,754992,T1206 ,T1406,,BMC ,M,A,11-NOV-00,10-FEB-06,NATIONAL PLAN 650,P,C, ,N,,,,,0,12,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,99,Y,,,AAA,,,,,B,N,,V1,,BLU,,,,,,,,,,,VOICE_PP;CONSUMER;,650,,,,,NATIONAL PLAN 650,,,,,,,,,,,,,,,,,, 
PAAMP000 ,02-JAN-80,08-MAR-05,08-JUL-14,11111,T1206 ,T1406,1111,    ,M,A,02-JAN-80,16-MAR-01,VOICE MAIL & PAGER,R,C,,N,,,,,,,,,,,,N,Y,Y,,,H,,,,N,N,,,D,,,,,,,,,M,,,Y,V,VM:BASIC;BVM;,,,,,,T,,,NC,,,,,,,,,,,,,,,,,,,VOICE MAIL & PAGER,,,,,,,,,,,,,,,,,, 
NBJ4XXX1N,02-JAN-80,02-FEB-06,04-NOV-14,754926,T1206 ,T1410,,DEF ,M,A,11-NOV-00,10-JUN-06,AFBUSH54NAT3000RUNWM                         ,P,C, ,N,,,,0,0,0,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,G,,,,M,5,,Y,,CAP_MINS3000;,AAA,,,,,O,N,,V1,,STD,,,,,,,,,,,VOICE_PP;BUSINESS;,3000,,,,,AFBUSH54NAT3000RUNWM                         ,,,,,,,,,,,*;,,,,,,, 
CMTR22   ,02-JAN-80,16-JAN-06,08-JUL-14,754883,NBI2  ,T1406,,    ,M,A,11-NOV-00,,PA Extended Home Toll,O,C, ,Y,,,,,,,,,,,,N,Y,Y,,,O,,N,N,,N,,,D,N,,  ,N,,,,,M,,,Y,V,RESSOCREM;,,,,,,O,,,V2,,,B,,,,,,,,,,A022;NOBUTTONS;,,,,,,PA Extended Home Toll,,,,,,,,,,,,,,,,,, 
DOHGAN3HA,02-JAN-80,18-DEC-07,24-NOV-14,30027498,T1206 ,uj178,,DEF ,M,A,30-JUL-10,30-JUL-10,D ANYWHR 300 LOCAL,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,W8@W7@W6@W5@W4@W3@W2@W1@W0@U4@U3@U2@U1@S2@S1@Q8@Q4@P8@M8@L8@L5@L4@D3@D2@D1@B8@B4,Y,,ELIG_TYPE;CONV_DOB;FBF_CMB_NFR;,AAA,,,,,O,N,,V1,,STD,,,,,1008LC04,,,,,,VOICE_PP;CONSUMER;,300,,,,,D ANYWHR 300 LOCAL,,,,,,,,,,,,,,,,,, 
PRFC002  ,02-JAN-80,30-AUG-10,14-JUL-14,77099133,T1206 ,gr260,,    ,M,A,03-SEP-10,06-MAY-14,MBL FORMSPRO 2USER,R,C, ,Y,,,,,,,,,,,,N,Y,N,,,H,,,,,N,,,D,,,,N,,,,,G,,A1,Y,B,B2B_TYPE;RTP;UPG_EQU_MRC_CALC;IRU_RESTRICTED;BUSELG;,,,,,,O,,,M1,,,B,,,N,,,Y,,,RBS,A070;,,Y,,,,Mobile Forms professional 2 User License,,,,,,,,,,14038739,,N,,Y,,,, 
ZDCP39V04,02-JAN-80,02-FEB-06,24-NOV-14,754926,T1206 ,uj178,,DEF ,M,A,23-NOV-09,23-JUN-10,BUS VALUE LOCAL 55,P,C, ,N,,,,,0,0,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,,Y,,ELIG_TYPE;VM:BASIC;BVM;CONV_ALLTEL;CONV_ZOD_ALIST;,AAA,,,,,O,N,,V1,,STD,,,V,,,,,,,,VOICE_PP;CONSUMER;,1200,,,,,BUS VALUE LOCAL 55,,,,,,,,,Z2@Z6@Z9@Z1,,,,,,,,, 
STAMP000 ,02-JAN-80,08-MAR-05,08-JUL-14,11111,T1206 ,T1406,1111,    ,M,A,02-JAN-80,10-JUN-06,Message Plus,R,C,,Y,,,,,,,,,,,,,Y,Y,,,H,,,,N,Y,,,A,,,,,,,,,C,,,Y,V,VM:BASIC;BVM;,,,,,,T,,,V2,,,N,,,,,,,,,,A079;,,,,,,Message Plus,,,,,,,,,,,,,,,,,, 
BTW37R99 ,02-JAN-80,29-JUN-06,08-JUL-14,754883,TDMA1 ,T1406,,,M,A,11-NOV-00,,Roam Rate $0.99,O,C,,Y,,,,,,,,,,,,N,N,N,,,R,,N,N,N,N,,,D,N,,,N,,,,,M,,99,Y,V,RESSOCREM;,,,,,,B,,,NC,,,N,,,N,,,,,,,A023;NOBUTTONS;,,,,,,Roam Rate $0.99,,,,,,,,,,,,,,,,,, 
ILCN2501 ,02-JAN-80,18-SEP-06,08-JUL-14,11111,T1206 ,T1406,1111,DEF ,M,A,31-MAY-02,10-JUN-06,AT&T NATION 250,P,C, ,N,,,,,0,12,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,,Y,,VM:BASIC;BVM;FBF_XXX_LMT_NW;,AAA,,,,,O,,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,250,,,,,AT&T NATION 250,,,,,,,,,Z2@Z6@Z9,,,,,,,,, 
CW450MMB ,02-JAN-80,19-JUL-07,08-JUL-14,991159,T1206 ,T1406,,DEF ,M,A,28-FEB-01,10-JUN-06,AT&T WA 450MMB ,P,P, ,N,,,,,0,12,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,,Y,,,AAA,,,,,O,,,V1,,STD,,,,,,,,,,,DATA_VOICE;CONSUMER;,0,,,,,AT&T WA 450MMB ,,,,,,,,,,,,,,,,,, 
PVXX180AX,02-JAN-80,16-MAR-05,08-JUL-14,754992,T1206 ,T1406,,    ,M,A,11-NOV-00,,180 Additional Mins,O,C, ,Y,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,RESSOCREM;FBF_ADD;,,,,,,B,,,NC,,BLU,,,,,,,,,,,A003;NOBUTTONS;,,,,,,180 Additional Mins,,,,,,,,,,,,,,,,,, 
LATXPS000,02-JAN-80,08-MAR-04,04-NOV-14,11111,NBI3  ,T1410,1111,    ,M,A,07-FEB-03,,Texas Statewide Plus          ,O,C, ,Y,,,,,,,,,,,,N,N,N,,,D,,,N,N,N,,,D,N,,  ,N,G,,,,M,,,Y,V,RESSOCREM;,,,,,,T,,,NC,,,,,,,,,,,,,A012;NOBUTTONS;,,,,,,Texas Statewide Plus          ,,,,,,,,,,,*;,,,,,,, 
C17971013,02-JAN-80,24-APR-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,NIGHT/WKNDS 3500,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHT/WKNDS 3500,,,,,,,,,,,,,,,,,, 
OKCR2N00 ,02-JAN-80,26-OCT-04,04-NOV-14,11111,T1206 ,T1410,1111,DEF ,M,A,01-FEB-04,10-JUN-06,REGSM 300 1KNW                ,P,C, ,Y,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,A1,Y,,VM:BASIC;BVM;FBF_CMB_NFR;,AAA,,,,,O,,,V1,,STD,,,,,,,,,,,VOICE_PP;CONSUMER;,300,,,,,REGSM 300 1KNW                ,,,,,,,,,Z2@Z6@Z9@Z1,,,,,,,,, 
AR7RM14  ,02-JAN-80,08-MAR-05,08-JUL-14,11111,NBI3  ,T1406,1111,    ,M,A,15-MAY-03,,1800 Rollover Mins,O,C, ,Y,,,,,,,,,,,,N,Y,Y,,,H,,,,,N,,,D,,,,Y,S,,,,M,,,Y,V,RESSOCREM;,,,,,,T,,,NC,,,,,,,,,,,,,A003;NOBUTTONS;,,,,,,1800 Rollover Mins,,,,,,,,,,,,,,,,,, 
GLCN3N00 ,02-JAN-80,01-JAN-80,04-NOV-14,991573,T1206 ,T1410,,DEF ,M,A,02-JAN-80,10-JUN-06,Nation 250/3500               ,P,C, ,Y,,,,,0,12,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,,,,,M,,,Y,,FBF_PRD_LMTD;,AAA,,,,,O,,,V1,,001,,,,,,,,,,,VOICE_PP;CONSUMER;,250,,,,,Nation 250/3500               ,,,,,,,,,Z2@Z6@Z9@Z1,,,,,,,,, 
OKCF29000,02-JAN-80,23-DEC-05,08-JUL-14,11111,T1206 ,T1406,1111,    ,M,A,31-JUL-01,10-JUN-06,CALL FORWARDING               ,R,C,,N,,,,,,,,,,,,N,Y,Y,,,H,,,,,N, ,,A,,,,N,,,,,M,,,Y,V,,,,,,,T,,,V2,,,,,,,,,,,,,A006;,,,,,,CALL FORWARDING               ,,,,,,,,,,,,,,,,,, 
JUSW05ELS,02-JAN-80,02-NOV-06,08-JUL-14,754931,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,/TN ROAM,R,C, ,N,,,,,,,,,,,,N,N,N,,,S,,N,N,S,N,,,D,N,,  ,N,,,,,M,,,Y,V,,,,,,,B,,,NC,,BLU,,,,,,,,,,,A012;,,,,,,/TN ROAM,,,,,,,,,,,,,,,,,, 
NYFN7N4  ,02-JAN-80,24-AUG-05,04-NOV-14,11111,T1206 ,T1410,1111,NEW ,M,A,01-SEP-05,10-JUN-06,FT9NAT4000RUNW,P,C, ,N,,,,,0,24,0,0,0,N,,N,Y,Y,,,H,,,,,N,,,D,,N,,,G,,,,M,5,,Y,,ELIG_TYPE;CAP_MINS4000;VM:BASIC;BVM;,AAA,,,Y,,O,,,V1,,032,,,,,,,,,,,VOICE_PP;CONSUMER;,4000,,,,,FT9NAT4000RUNW,,,,,,,,,,,*;,,,,,,, 
DORM1HM35,02-JAN-80,12-JUN-08,08-JUL-14,11111,CSM   ,T1406,1111,    ,M,A,13-JUN-08,,100 Roam Minutes,O,C, ,Y,,,,,,,,,,,,N,N,N,,,R,,,N,N,N,,,D,,,  ,N,,,,,M,,,Y,V,RESSOCREM;,,,,,,O,,,NC,,,B,,,,,,N,,,,NOBUTTONS;A023;,,,,,,100 Additional,,,,,,,,,,14322559,,Y,,,,,, 
C67979694,02-JAN-80,24-APR-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,NIGHTS & WEEKENDS 3K,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS 3K,,,,,,,,,,,,,,,,,, 
