FEATURE_CODE,SYS_CREATION_DATE,SYS_UPDATE_DATE,OPERATOR_ID,APPLICATION_ID,DL_SERVICE_CODE,DL_UPDATE_STAMP,FEATURE_GROUP,SWITCH_ACT_NEEDED,SWITCH_CODE,SWITCH_PARAM,USAGE_SCHEME_POSS,MPS_FEATURE_CODE,MPS_RATING_PRIORITY,LOCAL_SCOPE_IND,SERVICE_LEVEL,RATING_ROAMING_IND,PRORATION_IND,LSA_IND,FEATURE_DESC,REVENUE_CODE,FEE_WAIVE_CODE,FEE_WAIVE_METHOD,DEF_SW_PARAMS,CSM_PARAM_REQ_IND,FM_TYPE,DUP_FTR_ALLOW_IND,TAX_FEE_BILL_PRSNT_CD,FTR_SUB_GRP_TYPE,PRODUCT_TYPE,ONLINE_DISPLAY_IND,MSISDN_IND,TAX_FEE_BILL_PRSNT_TYPE,PRODUCT_SUB_TYPE,MOBILE_TECHNOLOGY,FM_PRIORITY,FEATURE_CATEGORY,FTR_ENBLR_TYPE,ENB_CHARGE_CODE,BL_DISPLAY,MLT_FTR_IND,FTR_VENDOR_GRP,VM_CATEGORY,EXCL_EXP_BL_DISP,FILTER_ATTRIBUTES,FTR_MED_DESC,APN_PRIORITY,PDP_ATTRIBUTES, 
D949  ,21-JUL-08,21-JUL-08,11111,RLEASE,DST  ,1111,SF,Y,ISP   ,APN=849@,N,,,,C,N,1,N,CCS - Available for Sale                                                                            ,,,,,N,,N,, ,M,,,,GG,M,,V ,,,,N,,,,A016;,CCS - Available for Sale                                    ,,, 
OHT025,15-JUN-12,12-JUL-12,,,SP050,,SF,Y,3PP   ,APP_ID=0861@,Y,OAHT  ,99,,C,N,3,N,OHT025                                                                                              ,,,,,N,,N,, ,M,,,,  ,G,,D ,,,T025,N,,,Y,A086;,OHT025,,, 
DUVOP ,22-OCT-12,,,,lr527,,SF,N,,,Y,DOPVID,99,,C,N,1,N,DATOPT Conflict                                                                                     ,,,,,N,,N,, ,M,,,,GG,G,,D ,,,DUVP,N,,,Y,A070;,Dummy conflict with DATOPT,,, 
BCA108,18-JUL-06,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=CITYOFMODESTO@,N,,,,C,N,1,N,CITYOFMODESTO                                                                                       ,,,,,N,,Y,, ,M,N,,,,M,,V ,,,C108,,,,,A016;,CITYOFMODESTO                                               ,,, 
D974  ,19-APR-05,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=874@,N,,,,C,N,1,N,CCS Avail for sale                                                                                  ,,,,,N,,N,, ,M,,,,GG,M,,V ,,,,N,,,,A016;,CCS Avail for sale                                          ,,, 
H869  ,21-JUL-08,21-JUL-08,11111,RLEASE,DST  ,1111,SF,Y,ISP   ,APN=2884@,N,,,,C,N,1,N,CCS - Available for Sale                                                                            ,,,,,N,,N,, ,M,,,,GG,M,,D ,,,,N,,,,A016;,CCS - Available for Sale                                    ,,, 
J747  ,06-SEP-07,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=3461@,N,,,,C,N,1,N,CCS Avail for sale                                                                                  ,,,,,N,,N,, ,M,,,,GG,M,,D ,,,,N,,,N,A016;,CCS Avail for sale                                          ,,, 
NOTILM,15-MAR-11,11-MAR-11,,,sp050,,SF,Y,NOTIF ,POLICY=MRCM@,Y,NOTIL ,99,,C,N,1,N,NOTIFY POLICY M                                                                                     ,,,,,N,,N,, ,M,,,,GG,G,,D ,,,NOTM,N,,,Y,A036;,NOTIFY POLICY M,,, 
H840  ,23-MAR-07,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=RERPCINGULAR@PROD_ID=4801@,N,,,,C,N,1,N,CCS - RERPCINGULAR                                                                                  ,,,,,N,,N,, ,M,,,,GG,M,,D ,,,,N,,,,A016;,CCS - RERPCINGULAR                                          ,,, 
A718  ,21-JUL-08,21-JUL-08,11111,RLEASE,DST  ,1111,SF,Y,ISP   ,APN=2167@,N,,,,C,N,1,N,CCS - Available for Sale                                                                            ,,,,,N,,N,, ,M,,,,GG,M,,D ,,,,N,,,,A016;,CCS - Available for Sale                                    ,,, 
APNAD4,01-JAN-80,19-NOV-14,,,df348,,SF,Y,ISP   ,APN=BROADBAND@DEFPOLICY=Y@,Y,APNAD4,11,,C,N,1,N,Broadband APN SBP                                                                                   ,,,,,N,,Y,, ,M,,,,GG,M,,D ,G,APN004,APD4,N,,,Y,A036;,Broadband APN SBP                                           ,500,CHK_PDP_VER;IPV4=BROADBAND@DEFPOLICY=Y;IPV6=BROADBANDV4V6@DEFPOLICY=Y;IPV4V6=BROADBANDV4V6@DEFPOLICY=Y;, 
EPL4  ,18-SEP-07,15-OCT-14,11111,RLEASE,sp050,1111,SF,N,3PP   ,APP_ID=9011@,N,,,,C,N,1,N,Ent Paging-100 seats                                                                                ,,,,,N,,N,, ,M,,,,  ,M,,D ,,,EPL4,N,,,,A026;,Ent Paging-100 seats                                        ,,, 
MUX   ,24-FEB-05,18-APR-08,11111,RLEASE,MATTG,1111,SF,N,,,Y,MMS   ,5,,C,N,1,N,MMS Opt Out                                                                                         ,,,,,N,,N,, ,M,,,,  ,M,,D ,M,MUX,MUX ,,,,,A050;,MMS Opt Out                                                 ,,, 
J730  ,06-SEP-07,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=3444@,N,,,,C,N,1,N,CCS Avail for sale                                                                                  ,,,,,N,,N,, ,M,,,,GG,M,,D ,,,,N,,,N,A016;,CCS Avail for sale                                          ,,, 
A559  ,06-JUN-06,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=BLACKBERRYTEST@,N,,,,C,N,1,N,CCS - BLACKBERRYTEST                                                                                ,,,,,N,,N,, ,M,,,,GG,M,,D ,,,,N,,,,A016;,CCS - BLACKBERRYTEST                                        ,,, 
ONETII,27-APR-06,27-APR-06,11111,RLEASE,DST  ,1111,OC,N,,,N,,,,,,,,OTC IMMEDIATE                                                                                       ,O  ,,,,,,Y,,,M,N,,,,M,,,,,,,,,,,OTC IMMEDIATE                                               ,,, 
SMS7  ,15-MAY-07,18-APR-08,11111,RLEASE,MATTG,1111,SF,N,,,Y,SMS7  ,6,,C,N,1,N,M2M Txt                                                                                             ,,,,,N,,N,, ,M,,,,  ,M,,D ,,,SMS7,N,,,,A066;,M2M Txt                                                     ,,, 
J774  ,06-SEP-07,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=3488@,N,,,,C,N,1,N,CCS Avail for sale                                                                                  ,,,,,N,,N,, ,M,,,,GG,M,,D ,,,,N,,,N,A016;,CCS Avail for sale                                          ,,, 
BCA772,18-JUL-06,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=CADOT4STATIC@PROD_ID=4801@,N,,,,C,N,1,N,CADOT4STATIC                                                                                        ,,,,,N,,Y,, ,M,N,,,,M,,V ,,,C772,,,,,A016;,CADOT4STATIC                                                ,,, 
PTT2  ,10-MAY-04,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=14@,Y,PTT2  ,11,,C,N,1,N,Push To Talk                                                                                        ,,,,,N,,N,, ,M,,,,GG,G,,V ,,,PTT2,,,,,A060;,Push To Talk                                                ,,, 
I659  ,13-NOV-06,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=3173@,N,,,,C,N,1,N,CCS Avail for sale                                                                                  ,,,,,N,,N,, ,M,,,,GG,M,,D ,,,,N,,,,A016;,CCS Avail for sale                                          ,,, 
AMP   ,12-AUG-05,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,VM    ,COS=AMP@VMCOS=F800@GVMCOS=F800@,Y,VM1   ,2,,C,N,1,N,Basic Voicemail and Pager                                                                           ,,,,,N,,N,, ,M,,N,,,M,,V ,,,,,,,,A079;,Basic Voicemail and Pager                                   ,,, 
STPPST,01-JUN-11,27-MAY-11,,,df348,,SF,Y,SPTIER,POLICY=POST@,Y,SPTP01,99,,C,N,1,N,SPEED TIER POST                                                                                     ,,,,,N,,N,, ,M,,,,GG,G,,D ,,,STPP,N,,,Y,A036;,SPEED TIER POST,,, 
BCA506,18-JUL-06,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=TAMPABAYWATER@PROD_ID=4801@,N,,,,C,N,1,N,TAMPABAYWATER                                                                                       ,,,,,N,,Y,, ,M,N,,,,M,,V ,,,C506,,,,,A016;,TAMPABAYWATER                                               ,,, 
BIVV  ,27-NOV-07,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ACDS  ,COS=5D01@,Y,VM1   ,2,,C,N,1,N,BMG VISUAL VM PSTPD                                                                                 ,,,,,N,,N,, ,M,,,,  ,G,,V ,,,BIVV,N,,ACDS  ,N,A076;,BMG VISUAL VM PSTPD                                         ,,, 
BCA072,18-JUL-06,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=CAPCOM@,N,,,,C,N,1,N,CAPCOM                                                                                              ,,,,,N,,Y,, ,M,N,,,,M,,V ,,,C072,,,,,A016;,CAPCOM                                                      ,,, 
